Request Number,HTTP Request Time
1,0.138432000
2,0.138262000
3,0.138227000
4,0.138417000
5,0.138279000
6,0.138208000
7,0.138142000
8,0.138172000
9,0.138214000
10,0.138114000
11,0.138319000
12,0.138305000
13,0.138322000
14,0.138363000
15,0.138280000
16,0.138277000
17,0.138201000
18,0.138344000
19,0.138165000
20,0.138193000
21,0.138150000
22,0.138120000
23,0.138046000
24,0.138144000
25,0.138019000
26,0.138047000
27,0.138246000
28,0.138113000
29,0.138029000
30,0.138205000
31,0.138070000
32,0.138089000
33,0.138210000
34,0.137995000
35,0.138031000
36,0.138139000
37,0.137962000
38,0.137966000
39,0.137976000
40,0.137990000
41,0.137946000
42,0.137938000
43,0.137978000
44,0.138196000
45,0.137940000
46,0.137928000
47,0.138044000
48,0.138003000
49,0.138111000
50,0.137961000
51,0.138035000
52,0.137886000
53,0.138113000
54,0.137895000
55,0.138033000
56,0.138092000
57,0.137953000
58,0.137871000
59,0.137878000
60,0.137933000
61,0.138127000
62,0.137855000
63,0.138074000
64,0.137937000
65,0.137947000
66,0.137991000
67,0.137912000
68,0.137973000
69,0.137942000
70,0.137906000
71,0.137956000
72,0.138093000
73,0.138137000
74,0.137962000
75,0.137971000
76,0.138079000
77,0.138034000
78,0.138010000
79,0.138230000
80,0.138006000
81,0.137947000
82,0.137925000
83,0.138226000
84,0.138063000
85,0.137943000
86,0.138049000
87,0.138111000
88,0.137925000
89,0.137937000
90,0.138008000
91,0.137954000
92,0.137954000
93,0.138077000
94,0.137936000
95,0.138155000
96,0.137843000
97,0.138133000
98,0.137973000
99,0.138234000
100,0.138042000
101,0.138085000
102,0.137966000
103,0.138036000
104,0.138112000
105,0.138077000
106,0.138160000
107,0.138226000
108,0.138149000
109,0.137895000
110,0.137916000
111,0.137955000
112,0.137949000
113,0.138025000
114,0.137946000
115,0.138035000
116,0.138137000
117,0.138028000
118,0.138057000
119,0.137907000
120,0.138092000
121,0.137945000
122,0.137980000
123,0.138068000
124,0.138021000
125,0.138058000
126,0.137955000
127,0.137930000
128,0.138039000
129,0.137945000
130,0.138009000
131,0.137910000
132,0.138074000
133,0.137892000
134,0.137916000
135,0.137980000
136,0.138031000
137,0.138430000
138,0.138095000
139,0.138137000
140,0.138171000
141,0.137953000
142,0.138034000
143,0.138069000
144,0.137922000
145,0.137955000
146,0.137916000
147,0.138018000
148,0.138130000
149,0.138135000
150,0.138068000
151,0.137995000
152,0.137975000
153,0.138032000
154,0.138100000
155,0.137993000
156,0.138046000
157,0.138048000
158,0.137887000
159,0.138134000
160,0.138161000
161,0.137855000
162,0.137823000
163,0.137916000
164,0.137995000
165,0.137918000
166,0.137860000
167,0.138098000
168,0.137916000
169,0.137899000
170,0.138163000
171,0.138100000
172,0.137969000
173,0.137978000
174,0.138098000
175,0.137966000
176,0.138108000
177,0.137963000
178,0.138036000
179,0.138259000
180,0.138317000
181,0.138116000
